CDN number,City-designated neighbourhood,Former city/borough,Neighbourhoods covered
129,Agincourt North,Scarborough,Agincourt and Brimwood
128,Agincourt South-Malvern West,Scarborough,Agincourt and Malvern
20,Alderwood,Etobicoke,Alderwood
95,Annex,Old City of Toronto,The Annex and Seaton Village
42,Banbury-Don Mills,North York,Don Mills
34,Bathurst Manor,North York,Bathurst Manor
76,Bay Street Corridor,Old City of Toronto,"Bay Street, Financial District"
52,Bayview Village,North York,Bayview Village
49,Bayview Woods-Steeles,North York,Bayview Woods
39,Bedford Park-Nortown,North York,"Bedford Park, Ledbury Park, and Nortown"
112,Beechborough-Greenbrook,York,Keelesdale and Silverthorn
127,Bendale,Scarborough,Bendale
122,Birchcliffe-Cliffside,Scarborough,Birch Cliff and Cliffside
24,Black Creek,North York,Jane and Finch
69,Blake-Jones,Old City of Toronto,The Pocket and Riverdale
108,Briar Hill-Belgravia,York,Fairbank
41,Bridle Path-Sunnybrook-York Mills,North York,The Bridle Path and York Mills
57,Broadview North,East York,Old East York
30,Brookhaven-Amesbury,North York,Amesbury
71,Cabbagetown-South St. James Town,Old City of Toronto,Cabbagetown and St. James Town
109,Caledonia-Fairbank,York,Fairbank and Cedarvale
96,Casa Loma,Old City of Toronto,"Casa Loma, and Wychwood"
133,Centennial Scarborough,Scarborough,Port Union and Centennial
75,Church-Yonge Corridor,Old City of Toronto,Church and Wellesley and Ryerson University
120,Clairlea-Birchmount,Scarborough,Clairlea
33,Clanton Park,North York,Wilson Heights
123,Cliffcrest,Scarborough,Cliffside
92,Corso Italia-Davenport,Old City of Toronto,"Corso Italia, Davenport, Earlscourt, and Regal Heights"
61,Crescent Town,East York,Crescent Town
59,Danforth - East York,East York,"Old East York, The Danforth"
66,Danforth Village - Toronto,Old City of Toronto,The Danforth
47,Don Valley Village,North York,"Don Valley Village, The Peanut"
126,Dorset Park,Scarborough,Dorset Park
93,Dovercourt-Wallace Emerson-Junction,Old City of Toronto,"Dovercourt Park, Wallace Emerson, Junction Triangle and Davenport"
26,Downsview-Roding-CFB,North York,Downsview
83,Dufferin Grove,Old City of Toronto,Brockton and Dufferin Grove
62,East End-Danforth,Old City of Toronto,"Upper Beaches, East Danforth"
9,Edenbridge-Humber Valley,Etobicoke,Humber Valley
138,Eglinton East,Scarborough,Eglinton East
