_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,PARKING_TYPE,FLANKING,BICYCLE_CAPACITY,SIZE_M,YEAR_INSTALLED,BY_LAW,DETAILS,OBJECTID,geometry
6670,7641979,21,Gerrard St E,21 Gerrard St E,,former Toronto,Toronto,Toronto Centre (13),,115001,7641994,21,,,,3495,,,-79.38110314,43.6591711,39,Bike Rack,Gerrard St E,16,2.9,2016,N/A,,1,"{""type"": ""Point"", ""coordinates"": [-79.3810999113837, 43.6591625171396]}"
6671,13991178,213,Delaware Ave,213 Delaware Ave,M6H 2T4,former Toronto,Toronto,Davenport (9),,115001,20033433,213,,,,3283,,,-79.42787406,43.66206598,40,Angled Bike Rack,Delaware Ave,5,2.9,2014,N/A,,2,"{""type"": ""Point"", ""coordinates"": [-79.4278708182001, 43.6620573990966]}"
6672,13991178,213,Delaware Ave,213 Delaware Ave,M6H 2T4,former Toronto,Toronto,Davenport (9),,115001,20033433,213,,,,3283,,,-79.42787406,43.66206598,41,Bike Corral,Delaware Ave,8,3,2014,NO,,3,"{""type"": ""Point"", ""coordinates"": [-79.4278708182001, 43.6620573990966]}"
6673,14206623,2198,Yonge St,2198 Yonge St,M4S 2B8,former Toronto,Toronto,Toronto-St. Paul's (12),,115001,14230407,2198,,,,4733,,,-79.39842714,43.70589138,42,Bike Rack,Soudan Ave,16,2.9,2016,N/A,,4,"{""type"": ""Point"", ""coordinates"": [-79.3984239071573, 43.7058827894606]}"
6674,10494377,222,Spadina Ave,222 Spadina Ave,M5T 3B3,former Toronto,Toronto,Spadina-Fort York (10),,115001,10494181,222,,,,4426,,,-79.397841,43.65093724,44,Bike Rack,Spadina Ave,16,2.9,2016,N/A,,5,"{""type"": ""Point"", ""coordinates"": [-79.3978377650267, 43.6509286638588]}"
6675,765142,236,Augusta Ave,236 Augusta Ave,M5T 2L7,former Toronto,Toronto,University-Rosedale (11),,107010,1144604,236,,,,2918,,,-79.40259812,43.65535409,45,Bike Corral,Augusta Ave,24,12,2012,Y,,6,"{""type"": ""Point"", ""coordinates"": [-79.4025948745683, 43.6553455061522]}"
6676,30035743,36,Lisgar St,36 Lisgar St,M6J 0C7,former Toronto,Toronto,Davenport (9),,100002,14024655,36,,,,3859,,,-79.42331575,43.64173864,59,Bike Rack,Lisgar St,8,2.9,2016,N/A,,7,"{""type"": ""Point"", ""coordinates"": [-79.4233157461113, 43.6417386470507]}"
6677,10223676,468,King St W,468 King St W,M5V 1L8,former Toronto,Toronto,Spadina-Fort York (10),,115001,10223667,468,,,,3780,,,-79.39592996,43.64555367,70,Bike Rack,King St W,8,2.9,2016,N/A,,8,"{""type"": ""Point"", ""coordinates"": [-79.3959267185292, 43.645545087493]}"
6678,14211049,5,Walmer Rd,5 Walmer Rd,,former Toronto,Toronto,University-Rosedale (11),,115001,10759044,5,,,,940,,,-79.40538162,43.66671109,76,Bike Rack,Walmer Rd,8,2.9,2016,N/A,,9,"{""type"": ""Point"", ""coordinates"": [-79.4053783829308, 43.6667025082735]}"
6679,10223683,500,King St W,500 King St W,M5V 1L9,former Toronto,Toronto,Spadina-Fort York (10),,115001,10223667,500,,,,3780,,,-79.39680837,43.64532424,78,Bike Rack,King St W,8,2.9,2016,N/A,,10,"{""type"": ""Point"", ""coordinates"": [-79.3968051380048, 43.6453156558296]}"
6680,13991066,584,Bloor St W,584 Bloor St W,M6G 1K4,former Toronto,Toronto,University-Rosedale (11),,115001,8353520,584,,,,458,,,-79.41269685,43.66510925,85,Bike Rack,,8,2.9,2017,N/A,,11,"{""type"": ""Point"", ""coordinates"": [-79.4126936121623, 43.6651006726937]}"
6681,8416837,692,Bloor St W,692 Bloor St W,M6G 1L4,former Toronto,Toronto,University-Rosedale (11),,115001,8416823,692,,,,458,,,-79.4174365,43.66398582,95,Bike Rack,Clinton Pl,16,2.9,2016,N/A,,12,"{""type"": ""Point"", ""coordinates"": [-79.4174332539337, 43.6639772447612]}"
6682,7792587,790,Bay St,790 Bay St,M5G 1N8,former Toronto,Toronto,University-Rosedale (11),,104008,7792579,790,,,,2962,,,-79.38617832,43.66045455,105,Bike Rack,Bay St,8,2.9,2016,N/A,,13,"{""type"": ""Point"", ""coordinates"": [-79.3861750845428, 43.6604459643503]}"
6683,880972,241,Wellington St W,241 Wellington St W,,former Toronto,Toronto,Spadina-Fort York (10),,113001,1146352,241,,,,4652,,,-79.39001664,43.64496072,46,Bike Rack,John St,16,2.9,2016,N/A,,14,"{""type"": ""Point"", ""coordinates"": [-79.3900134101984, 43.6449521397727]}"
6684,7994464,40,High Park Ave,40 High Park Ave,M6P 2S1,former Toronto,Toronto,Parkdale-High Park (4),,115001,7994458,40,,,,3660,,,-79.4663714,43.6547198,63,Bike Shelter,High Park Ave,20,10,2013,N/A,,15,"{""type"": ""Point"", ""coordinates"": [-79.4663681478908, 43.6547112224053]}"
6685,856375,100,Queen St W,100 Queen St W,M5H 2N1,former Toronto,Toronto,Spadina-Fort York (10),Nathan Phillips Square,104001,1145216,100,,,,4238,,,-79.38362506,43.65282214,4,Bike Rack,Queen St W,120,2.9,2015,N/A,,16,"{""type"": ""Point"", ""coordinates"": [-79.3836250552132, 43.6528221423182]}"
6686,856701,686,Queen St W,686 Queen St W,M6J 1E7,former Toronto,Toronto,Spadina-Fort York (10),,104008,1146191,686,,,,4238,,,-79.40794703,43.64658678,94,Bike Shelter,Euclid Ave,10,3,2015,N/A,,17,"{""type"": ""Point"", ""coordinates"": [-79.4079437964715, 43.646578203587]}"
6687,866475,180,Shaw St,180 Shaw St,M6J 2W5,former Toronto,Toronto,Spadina-Fort York (10),Givins/Shaw Ps Jr. & Sr.,102001,14018156,180,,,,4388,,,-79.41758951,43.64690749,28,Bike Shelter,Shaw St,18,7.6,2013,N/A,,18,"{""type"": ""Point"", ""coordinates"": [-79.4175862610454, 43.6468989083573]}"
6688,887713,1140,Yonge St,1140 Yonge St,M4W 2L8,former Toronto,Toronto,University-Rosedale (11),,112001,1140465,1140,,,,4733,,,-79.3910504,43.67951883,11,Bike Rack,Malborough Ave,8,2.9,2016,N/A,,19,"{""type"": ""Point"", ""coordinates"": [-79.3910471597584, 43.6795102439657]}"
6689,310564,150,Borough Dr,150 Borough Dr,M1P 4N7,Scarborough,Toronto,Scarborough Centre (21),Albert Campbell Square,104001,107945,150,,,,7397,,,-79.25724096,43.77281059,22,Bike Rack,Borough Dr,8,2.9,2014,N/A,,20,"{""type"": ""Point"", ""coordinates"": [-79.2572409578119, 43.772810586741]}"
6690,7730108,350,Victoria St,350 Victoria St,M5B 2K3,former Toronto,Toronto,Toronto Centre (13),,115001,30060911,350,,,,9790,,,-79.38047983,43.65776563,55,Bike Rack,Gould St,8,2.9,2016,N/A,,21,"{""type"": ""Point"", ""coordinates"": [-79.3804798260292, 43.6577656354656]}"
6691,8353493,266,King St E,266 King St E,M5A 1K3,former Toronto,Toronto,Toronto Centre (13),,115001,8353517,266,,,,3779,,,-79.36634528,43.6519713,48,Bike Rack,Ontario St,8,2.9,2016,N/A,,22,"{""type"": ""Point"", ""coordinates"": [-79.3663420506319, 43.6519627216596]}"
6692,7642554,277,Victoria St,277 Victoria St,M5B 1W2,former Toronto,Toronto,Toronto Centre (13),,104008,30075808,277,,,,9790,,,-79.37933858,43.65655891,50,Bike Rack,Dundas St E,8,2.9,2016,N/A,,23,"{""type"": ""Point"", ""coordinates"": [-79.3793385702209, 43.6565589127866]}"
6693,10864283,28,Duncan St,28 Duncan St,,former Toronto,Toronto,Spadina-Fort York (10),,115001,14036084,28,,,,3331,,,-79.38921312,43.64878977,51,Bike Corral,Nelson St,14,5.5,2015,NO,,24,"{""type"": ""Point"", ""coordinates"": [-79.3892098795828, 43.6487811930649]}"
6694,30069161,35,York St,35 York St,M5J 0C7,former Toronto,Toronto,Spadina-Fort York (10),,108002,13975053,35,,,,4735,,,-79.3814651,43.64379067,54,Angled Bike Rack,Front St W,30,2.9,2015,N/A,,25,"{""type"": ""Point"", ""coordinates"": [-79.3814651014112, 43.6437906731595]}"
6695,7929475,357,Bay St,357 Bay St,M5H 2T7,former Toronto,Toronto,Toronto Centre (13),,115001,7929469,357,,,,2962,,,-79.38088024,43.65084299,57,Bike Rack,Temperance St,8,2.9,2016,N/A,,26,"{""type"": ""Point"", ""coordinates"": [-79.3808769998818, 43.6508344042378]}"
6696,10736597,362,Bloor St W,362 Bloor St W,M5S 1X2,former Toronto,Toronto,University-Rosedale (11),The Living Stone Church,109001,10736589,362,,,,458,,,-79.4057872,43.66652202,60,Bike Rack,Walmer Rd,8,2.9,2016,N/A,,27,"{""type"": ""Point"", ""coordinates"": [-79.4057839572486, 43.6665134281721]}"
6697,12562241,375,St Clair Ave W,375 St Clair Ave W,,former Toronto,Toronto,Toronto-St. Paul's (12),Nordheimer Ravine,106001,30076115,375,,,,890,,,-79.41432903,43.68369463,61,Bike Shelter,St Clair Ave W,20,10,2011,N/A,,28,"{""type"": ""Point"", ""coordinates"": [-79.4143290305209, 43.6836946284848]}"
6698,10258457,40,Orchard View Blvd,40 Orchard View Blvd,M4R 1B9,former Toronto,Toronto,Eglinton-Lawrence (8),Northern District Public Library,107009,10258454,40,,,,4111,,,-79.40006729,43.70827849,64,Bike Rack,Roehampton Ave,8,2.9,2016,N/A,,29,"{""type"": ""Point"", ""coordinates"": [-79.4000640484789, 43.7082699050511]}"
6699,7730077,400,Yonge St,400 Yonge St,,former Toronto,Toronto,University-Rosedale (11),,115001,7730098,400,,,,4733,,,-79.38265005,43.65955035,65,Bike Rack,Gerrard St W,8,2.9,2016,N/A,,30,"{""type"": ""Point"", ""coordinates"": [-79.3826468222771, 43.6595417581254]}"
6700,785313,429,College St,429 College St,M5T 1T2,former Toronto,Toronto,University-Rosedale (11),,104008,1144402,429,,,,9765,,,-79.40728803,43.65629181,66,Bike Rack,Bathurst St,8,2.9,2016,N/A,,31,"{""type"": ""Point"", ""coordinates"": [-79.4072847841266, 43.6562832334017]}"
6701,9980658,449,Parliament St,449 Parliament St,M5A 3A3,former Toronto,Toronto,Toronto Centre (13),,115001,14023933,449,,,,4162,,,-79.36716587,43.66351517,69,Bike Rack,Spruce St,8,2.9,2016,N/A,,32,"{""type"": ""Point"", ""coordinates"": [-79.3671626414988, 43.6635065844203]}"
6702,30038007,47,Lower River St,47 Lower River St,M5A 0G1,former Toronto,Toronto,Toronto Centre (13),,100002,30037989,47,,,,19546,,,-79.35554106,43.6564986,71,Bike Rack,Trolley Cres,24,2.9,2016,N/A,,33,"{""type"": ""Point"", ""coordinates"": [-79.35554106317, 43.65649859699091]}"
6703,11180397,49,Givins St,49 Givins St,M6J 2X5,former Toronto,Toronto,Spadina-Fort York (10),Givins/Shaw Public School,102002,11180398,49,,,,3505,,,-79.41758754,43.64641624,72,Bike Rack,Shaw St,8,2.9,2013,N/A,,34,"{""type"": ""Point"", ""coordinates"": [-79.4175842923766, 43.6464076573477]}"
6704,854435,50,Portland St,50 Portland St,M5V 2M7,former Toronto,Toronto,Spadina-Fort York (10),,112001,14025624,50,,,,9780,,,-79.39996544,43.64339526,77,Bike Corral,Wellington St W,14,5.5,2016,NO,,35,"{""type"": ""Point"", ""coordinates"": [-79.3999654356682, 43.6433952592458]}"
