TPU,TPU_id,No schooling/ Pre-primary,Primary,Lower secondary,Upper secondary,Post-secondary: Diploma/ Certificate,Post-secondary: Sub-degree course,Post-secondary: Degree course,Total
111,111,6041,8161,8093,15564,3259,2899,18255,62272
112,112,4160,7234,6762,13999,2821,2003,14178,51157
113,113,2051,2891,2797,5594,1112,850,7748,23043
114,114,590,831,854,1968,507,292,3307,8349
115,115,140,289,305,483,147,89,473,1926
116,116,1642,1849,1971,3842,671,565,3553,14093
121 and 123 - 124,121,74,228,241,421,123,60,703,1850
121 and 123 - 124,124,,,,,,,,
121 and 123 - 124,123,,,,,,,,
122,122,430,544,464,1475,438,285,2055,5691
131,131,2414,3353,3353,8115,1734,1412,9952,30333
132,132,2158,2190,2462,4510,862,605,4694,17481
133,133,811,1468,1930,2922,575,371,3025,11102
134,134,114,99,85,242,103,23,534,1200
135,135,61,22,90,278,48,24,553,1076
140,140,346,607,606,1743,485,353,3228,7368
141,141,1323,1830,1582,4243,1358,713,8601,19650
142,142,2625,3008,2664,8434,2054,1349,19684,39818
143,143,685,819,864,2382,627,387,4973,10737
144,144,2543,3033,2871,8336,2172,1293,14011,34259
145,145,806,1080,1314,3211,783,660,5808,13662
146 - 147,146,1038,2133,2219,4638,798,608,5211,16645
146 - 147,147,,,,,,,,
148,148,899,1834,1630,2441,533,496,2025,9858
149,149,725,1010,870,2073,420,348,4118,9564
151,151,4178,5789,5585,11809,2742,1965,17141,49209
152,152,1768,1706,1576,4467,1238,771,8642,20168
153,153,7109,9485,11072,18865,3996,2948,20211,73686
154,154,849,1631,1938,3248,703,531,2500,11400
155,155,1886,2598,3236,5830,1009,703,5351,20613
156 and 158,156,4856,5561,5632,13096,3384,2373,16665,51567
156 and 158,158,,,,,,,,
157,157,4486,5456,5331,11874,3355,2389,19840,52731
161,161,10423,14485,12909,24002,4536,3204,15629,85188
162,162,1587,2039,1681,5139,1386,881,6713,19426
163,163,4057,6355,6037,11138,2413,1802,6843,38645
164 - 165,164,5813,12581,12082,16213,2350,2371,6806,58216
164 - 165,165,,,,,,,,
166,166,3378,8423,7722,10158,1812,1899,5950,39342
167,167,4946,8933,9641,16793,3068,2609,10936,56926
171,171,1918,1964,1316,4305,1119,704,9427,20753
172,172,5588,10982,9699,15552,2957,2167,9743,56688
173,173,8803,11559,9928,15640,2692,2362,7319,58303
174,174,11253,14349,11254,21939,4817,3460,19680,86752
175 - 176,175,1817,2725,1999,3846,827,504,2747,14465
175 - 176,176,,,,,,,,
181 - 182,181,258,384,396,1117,352,262,1910,4679
182 - 182,182,,,,,,,,
183 - 184,183,260,392,429,1391,238,182,2042,4934
