office,plan_no,area_code,title,location,type
Hong Kong Planning Areas,S/H1/20,H1,Kennedy Town & Mount Davis (HPA 1) Outline Zoning Plan,Kennedy Town & Mount Davis (HPA 1),OZP
Hong Kong Planning Areas,S/H3/33,H3,Sai Ying Pun & Sheung Wan (HPA 3) Outline Zoning Plan,Sai Ying Pun & Sheung Wan (HPA 3),OZP
Hong Kong Planning Areas,S/H4/17,H4,Central District (HPA 4) Outline Zoning Plan,Central District (HPA 4),OZP
Hong Kong Planning Areas,S/H5/28,H5,Wan Chai (HPA 5) Outline Zoning Plan,Wan Chai (HPA 5),OZP
Hong Kong Planning Areas,S/H6/17,H6,Causeway Bay (HPA 6) Outline Zoning Plan,Causeway Bay (HPA 6),OZP
Hong Kong Planning Areas,S/H7/20,H7,Wong Nai Chung (HPA 7) Outline Zoning Plan,Wong Nai Chung (HPA 7),OZP
Hong Kong Planning Areas,S/H8/26,H8,North Point (HPA 8) Outline Zoning Plan,North Point (HPA 8),OZP
Hong Kong Planning Areas,S/H9/18,H9,Shau Kei Wan (HPA 9) Outline Zoning Plan,Shau Kei Wan (HPA 9),OZP
Hong Kong Planning Areas,S/H10/18,H10,Pok Fu Lam (HPA 10) Outline Zoning Plan,Pok Fu Lam (HPA 10),OZP
Hong Kong Planning Areas,S/H11/15,H11,Mid-levels West (HPA 11) Outline Zoning Plan,Mid-levels West (HPA 11),OZP
Hong Kong Planning Areas,S/H12/12,H12,Mid-levels East (HPA 12) Outline Zoning Plan,Mid-levels East (HPA 12),OZP
Hong Kong Planning Areas,S/H13/12,H13,Jardine's Lookout & Wong Nai Chung Gap (HPA 13) Outline Zoning Plan,Jardine's Lookout & Wong Nai Chung Gap (HPA 13),OZP
Hong Kong Planning Areas,S/H14/13,H14,The Peak Area (HPA 14) Outline Zoning Plan,The Peak Area (HPA 14),OZP
Hong Kong Planning Areas,S/H15/33,H15,Aberdeen and Ap Lei Chau (HPA 15 & 16) Outline Zoning Plan,Aberdeen and Ap Lei Chau (HPA 15 & 16),OZP
Hong Kong Planning Areas,S/H17/13,H17,Shouson Hill & Repulse Bay (HPA 17 Pt.) Outline Zoning Plan,Shouson Hill & Repulse Bay (HPA 17 Pt.),OZP
Hong Kong Planning Areas,S/H18/10,H18,Tai Tam & Shek O (HPA 18) Outline Zoning Plan,Tai Tam & Shek O (HPA 18),OZP
Hong Kong Planning Areas,S/H19/13,H19,Stanley (HPA 19) Outline Zoning Plan,Stanley (HPA 19),OZP
Hong Kong Planning Areas,S/H20/24,H20,Chai Wan (HPA 20) Outline Zoning Plan,Chai Wan (HPA 20),OZP
Hong Kong Planning Areas,S/H21/28,H21,Quarry Bay (HPA 21) Outline Zoning Plan,Quarry Bay (HPA 21),OZP
Hong Kong Planning Areas,S/H24/9,H24,Central District (Extension) (HPA 24) Outline Zoning Plan,Central District (Extension) (HPA 24),OZP
Hong Kong Planning Areas,S/H25/4,H25,Wan Chai North (HPA 25) Outline Zoning Plan,Wan Chai North (HPA 25),OZP
Kowloon Planning Areas,S/K1/28,K1,Tsim Sha Tsui (KPA 1) Outline Zoning Plan,Tsim Sha Tsui (KPA 1),OZP
Kowloon Planning Areas,S/K2/22,K2,Yau Ma Tei (KPA 2) Outline Zoning Plan,Yau Ma Tei (KPA 2),OZP
Kowloon Planning Areas,S/K3/32,K3,Mong Kok (KPA 3) Outline Zoning Plan,Mong Kok (KPA 3),OZP
Kowloon Planning Areas,S/K4/29,K4,Shek Kip Mei (KPA 4) Outline Zoning Plan,Shek Kip Mei (KPA 4),OZP
Kowloon Planning Areas,S/K5/37,K5,Cheung Sha Wan (KPA 5) Outline Zoning Plan,Cheung Sha Wan (KPA 5),OZP
Kowloon Planning Areas,S/K7/24,K7,Ho Man Tin (KPA 6 & 7) Outline Zoning Plan,Ho Man Tin (KPA 6 & 7),OZP
