resultId,raceId,driverId,constructorId,number,positionOrder,points,rank
1,18,1,1,22,1,10,2
2,18,2,2,3,2,8,3
3,18,3,3,7,3,6,5
4,18,4,4,5,4,5,7
5,18,5,1,23,5,4,1
6,18,6,3,8,6,3,14
7,18,7,5,14,7,2,12
8,18,8,6,1,8,1,4
9,18,9,2,4,9,0,9
10,18,10,7,12,10,0,13
11,18,11,8,18,11,0,15
12,18,12,4,6,12,0,16
13,18,13,6,2,13,0,6
14,18,14,9,9,14,0,11
15,18,15,7,11,15,0,10
16,18,16,10,20,16,0,17
17,18,17,9,10,17,0,\N
18,18,18,11,16,18,0,\N
19,18,19,8,19,19,0,\N
20,18,20,5,15,20,0,\N
21,18,21,10,21,21,0,\N
22,18,22,11,17,22,0,8
23,19,8,6,1,1,10,2
24,19,9,2,4,2,8,6
25,19,5,1,23,3,6,7
26,19,15,7,11,4,5,8
27,19,1,1,22,5,4,3
28,19,2,2,3,6,3,1
29,19,17,9,10,7,2,12
30,19,4,4,5,8,1,10
31,19,14,9,9,9,0,9
32,19,18,11,16,10,0,4
33,19,12,4,6,11,0,15
34,19,21,10,21,12,0,16
35,19,22,11,17,13,0,11
36,19,3,3,7,14,0,13
37,19,19,8,19,15,0,18
38,19,11,8,18,16,0,19
39,19,6,3,8,17,0,17
40,19,20,5,15,18,0,14
41,19,13,6,2,19,0,5
42,19,16,10,20,20,0,20
43,19,10,7,12,21,0,\N
44,19,7,5,14,22,0,\N
45,20,13,6,2,1,10,3
46,20,8,6,1,2,8,4
47,20,9,2,4,3,6,5
48,20,2,2,3,4,5,2
49,20,5,1,23,5,4,1
50,20,15,7,11,6,3,7
51,20,17,9,10,7,2,8
52,20,3,3,7,8,1,6
53,20,10,7,12,9,0,9
54,20,4,4,5,10,0,13
55,20,22,11,17,11,0,10
56,20,21,10,21,12,0,11
57,20,1,1,22,13,0,19
58,20,6,3,8,14,0,17
59,20,7,5,14,15,0,15
60,20,19,8,19,16,0,14
61,20,11,8,18,17,0,20
62,20,14,9,9,18,0,16
63,20,16,10,20,19,0,18
64,20,12,4,6,20,0,12
65,20,18,11,16,21,0,21
66,20,20,5,15,22,0,\N
67,21,8,6,1,1,10,1
68,21,13,6,2,2,8,2
69,21,1,1,22,3,6,3
70,21,9,2,4,4,5,4
71,21,17,9,10,5,4,8
72,21,18,11,16,6,3,5
73,21,6,3,8,7,2,15
74,21,15,7,11,8,1,10
75,21,2,2,3,9,0,7
76,21,21,10,21,10,0,14
77,21,10,7,12,11,0,12
78,21,14,9,9,12,0,11
79,21,11,8,18,13,0,17
80,21,3,3,7,14,0,13
81,21,4,4,5,15,0,9
82,21,22,11,17,16,0,16
83,21,5,1,23,17,0,6
84,21,19,8,19,18,0,20
85,21,7,5,14,19,0,19
86,21,12,4,6,20,0,18
87,21,16,10,20,21,0,\N
88,21,20,5,15,22,0,\N
89,22,13,6,2,1,10,3
90,22,1,1,22,2,8,2
91,22,8,6,1,3,6,1
92,22,9,2,4,4,5,4
93,22,2,2,3,5,4,5
94,22,4,4,5,6,3,6
95,22,17,9,10,7,2,7
96,22,3,3,7,8,1,9
97,22,14,9,9,9,0,12
98,22,15,7,11,10,0,11
99,22,18,11,16,11,0,13
100,22,5,1,23,12,0,8
101,22,10,7,12,13,0,16
102,22,22,11,17,14,0,14
103,22,12,4,6,15,0,10
104,22,16,10,20,16,0,18
105,22,20,5,15,17,0,15
106,22,7,5,14,18,0,17
107,22,6,3,8,19,0,\N
108,22,21,10,21,20,0,\N
109,23,1,1,22,1,10,6
110,23,9,2,4,2,8,5
111,23,13,6,2,3,6,4
112,23,17,9,10,4,5,8
113,23,20,5,15,5,4,7
114,23,22,11,17,6,3,9
115,23,6,3,8,7,2,13
116,23,5,1,23,8,1,2
117,23,8,6,1,9,0,1
118,23,4,4,5,10,0,3
119,23,18,11,16,11,0,10
120,23,10,7,12,12,0,11
121,23,15,7,11,13,0,12
122,23,2,2,3,14,0,14
123,23,16,10,20,15,0,16
124,23,3,3,7,16,0,15
125,23,12,4,6,17,0,17
126,23,21,10,21,18,0,18
127,23,14,9,9,19,0,20
128,23,7,5,14,20,0,19
129,24,9,2,4,1,10,4
130,24,2,2,3,2,8,2
131,24,14,9,9,3,6,7
132,24,10,7,12,4,5,17
133,24,13,6,2,5,4,6
134,24,15,7,11,6,3,15
135,24,22,11,17,7,2,10
136,24,20,5,15,8,1,12
137,24,5,1,23,9,0,11
138,24,3,3,7,10,0,5
139,24,18,11,16,11,0,19
140,24,17,9,10,12,0,8
141,24,7,5,14,13,0,13
142,24,21,10,21,14,0,16
143,24,6,3,8,15,0,14
144,24,4,4,5,16,0,9
145,24,12,4,6,17,0,18
146,24,8,6,1,18,0,1
147,24,1,1,22,19,0,3
148,24,16,10,20,20,0,20
149,25,13,6,2,1,10,2
