,Academic Year,Full-time,Level of study,Institution,Program Length,Sex,Students
0,2010,True,Research postgraduate,City University of Hong Kong,Postgrad,Female,225
1,2010,True,Research postgraduate,City University of Hong Kong,Postgrad,Male,333
2,2010,False,Research postgraduate,City University of Hong Kong,Postgrad,Female,5
3,2010,False,Research postgraduate,City University of Hong Kong,Postgrad,Male,12
4,2010,True,Sub-degree,City University of Hong Kong,1,Female,182
5,2010,True,Sub-degree,City University of Hong Kong,1,Male,277
6,2010,True,Sub-degree,City University of Hong Kong,2,Female,214
7,2010,True,Sub-degree,City University of Hong Kong,2,Male,253
8,2010,False,Sub-degree,City University of Hong Kong,3,Female,@
9,2010,True,Taught postgraduate,City University of Hong Kong,1,Female,25
10,2010,True,Taught postgraduate,City University of Hong Kong,1,Male,28
11,2010,True,Taught postgraduate,City University of Hong Kong,2,Male,@
12,2010,False,Taught postgraduate,City University of Hong Kong,2,Male,@
13,2010,True,Undergraduate,City University of Hong Kong,1,Female,1055
14,2010,True,Undergraduate,City University of Hong Kong,1,Male,1250
15,2010,True,Undergraduate,City University of Hong Kong,2,Female,1482
16,2010,True,Undergraduate,City University of Hong Kong,2,Male,1499
17,2010,True,Undergraduate,City University of Hong Kong,3,Female,1497
18,2010,True,Undergraduate,City University of Hong Kong,3,Male,1594
19,2010,True,Undergraduate,City University of Hong Kong,4,Female,22
20,2010,True,Undergraduate,City University of Hong Kong,4,Male,13
21,2010,True,Undergraduate,City University of Hong Kong,work placement,Female,27
22,2010,True,Undergraduate,City University of Hong Kong,work placement,Male,92
23,2010,False,Undergraduate,City University of Hong Kong,4,Male,6
24,2010,False,Undergraduate,City University of Hong Kong,5,Female,@
25,2010,False,Undergraduate,City University of Hong Kong,5,Male,6
26,2010,True,Research postgraduate,Hong Kong Baptist University,Postgrad,Female,120
27,2010,True,Research postgraduate,Hong Kong Baptist University,Postgrad,Male,105
28,2010,True,Taught postgraduate,Hong Kong Baptist University,1,Female,14
29,2010,True,Taught postgraduate,Hong Kong Baptist University,1,Male,15
30,2010,False,Taught postgraduate,Hong Kong Baptist University,1,Female,148
31,2010,False,Taught postgraduate,Hong Kong Baptist University,1,Male,135
32,2010,False,Taught postgraduate,Hong Kong Baptist University,2,Female,153
33,2010,False,Taught postgraduate,Hong Kong Baptist University,2,Male,133
34,2010,True,Undergraduate,Hong Kong Baptist University,1,Female,883
35,2010,True,Undergraduate,Hong Kong Baptist University,1,Male,577
36,2010,True,Undergraduate,Hong Kong Baptist University,2,Female,933
37,2010,True,Undergraduate,Hong Kong Baptist University,2,Male,643
38,2010,True,Undergraduate,Hong Kong Baptist University,3,Female,947
39,2010,True,Undergraduate,Hong Kong Baptist University,3,Male,615
40,2010,True,Undergraduate,Hong Kong Baptist University,4,Female,41
41,2010,True,Undergraduate,Hong Kong Baptist University,4,Male,21
42,2010,True,Undergraduate,Hong Kong Baptist University,5,Female,13
43,2010,True,Undergraduate,Hong Kong Baptist University,5,Male,19
44,2010,True,Undergraduate,Hong Kong Baptist University,work placement,Female,44
45,2010,True,Undergraduate,Hong Kong Baptist University,work placement,Male,7
46,2010,True,Research postgraduate,Lingnan University,Postgrad,Female,30
47,2010,True,Research postgraduate,Lingnan University,Postgrad,Male,19
48,2010,False,Research postgraduate,Lingnan University,Postgrad,Female,@
49,2010,False,Research postgraduate,Lingnan University,Postgrad,Male,5
50,2010,True,Undergraduate,Lingnan University,1,Female,449
51,2010,True,Undergraduate,Lingnan University,1,Male,250
52,2010,True,Undergraduate,Lingnan University,2,Female,577
53,2010,True,Undergraduate,Lingnan University,2,Male,267
54,2010,True,Undergraduate,Lingnan University,3,Female,504
55,2010,True,Undergraduate,Lingnan University,3,Male,291
56,2010,True,Research postgraduate,The Chinese University of Hong Kong,Postgrad,Female,696
57,2010,True,Research postgraduate,The Chinese University of Hong Kong,Postgrad,Male,911
58,2010,False,Research postgraduate,The Chinese University of Hong Kong,Postgrad,Female,35
59,2010,False,Research postgraduate,The Chinese University of Hong Kong,Postgrad,Male,36
60,2010,True,Taught postgraduate,The Chinese University of Hong Kong,1,Female,167
61,2010,True,Taught postgraduate,The Chinese University of Hong Kong,1,Male,112
62,2010,True,Taught postgraduate,The Chinese University of Hong Kong,2,Female,28
63,2010,True,Taught postgraduate,The Chinese University of Hong Kong,2,Male,22
64,2010,False,Taught postgraduate,The Chinese University of Hong Kong,1,Female,211
65,2010,False,Taught postgraduate,The Chinese University of Hong Kong,1,Male,130
66,2010,False,Taught postgraduate,The Chinese University of Hong Kong,2,Female,205
67,2010,False,Taught postgraduate,The Chinese University of Hong Kong,2,Male,117
68,2010,True,Undergraduate,The Chinese University of Hong Kong,1,Female,1777
69,2010,True,Undergraduate,The Chinese University of Hong Kong,1,Male,1668
70,2010,True,Undergraduate,The Chinese University of Hong Kong,2,Female,1754
71,2010,True,Undergraduate,The Chinese University of Hong Kong,2,Male,1494
72,2010,True,Undergraduate,The Chinese University of Hong Kong,3,Female,1804
73,2010,True,Undergraduate,The Chinese University of Hong Kong,3,Male,1620
74,2010,True,Undergraduate,The Chinese University of Hong Kong,4,Female,383
75,2010,True,Undergraduate,The Chinese University of Hong Kong,4,Male,236
76,2010,True,Undergraduate,The Chinese University of Hong Kong,5,Female,91
77,2010,True,Undergraduate,The Chinese University of Hong Kong,5,Male,73
78,2010,True,Undergraduate,The Chinese University of Hong Kong,work placement,Female,37
79,2010,True,Undergraduate,The Chinese University of Hong Kong,work placement,Male,75
80,2010,True,Sub-degree,The Education University of Hong Kong,1,Female,180
81,2010,True,Sub-degree,The Education University of Hong Kong,1,Male,@
82,2010,True,Sub-degree,The Education University of Hong Kong,2,Female,131
83,2010,True,Sub-degree,The Education University of Hong Kong,2,Male,@
84,2010,True,Sub-degree,The Education University of Hong Kong,3,Female,51
85,2010,True,Sub-degree,The Education University of Hong Kong,3,Male,@
86,2010,False,Sub-degree,The Education University of Hong Kong,1,Female,213
87,2010,False,Sub-degree,The Education University of Hong Kong,2,Female,208
88,2010,False,Sub-degree,The Education University of Hong Kong,short programme,Female,838
89,2010,False,Sub-degree,The Education University of Hong Kong,short programme,Male,305
90,2010,True,Taught postgraduate,The Education University of Hong Kong,1,Female,162
91,2010,True,Taught postgraduate,The Education University of Hong Kong,1,Male,92
92,2010,False,Taught postgraduate,The Education University of Hong Kong,1,Female,211
93,2010,False,Taught postgraduate,The Education University of Hong Kong,1,Male,119
94,2010,False,Taught postgraduate,The Education University of Hong Kong,2,Female,144
95,2010,False,Taught postgraduate,The Education University of Hong Kong,2,Male,88
96,2010,True,Undergraduate,The Education University of Hong Kong,1,Female,480
97,2010,True,Undergraduate,The Education University of Hong Kong,1,Male,139
98,2010,True,Undergraduate,The Education University of Hong Kong,2,Female,456
99,2010,True,Undergraduate,The Education University of Hong Kong,2,Male,138
100,2010,True,Undergraduate,The Education University of Hong Kong,3,Female,448
101,2010,True,Undergraduate,The Education University of Hong Kong,3,Male,153
102,2010,True,Undergraduate,The Education University of Hong Kong,4,Female,418
103,2010,True,Undergraduate,The Education University of Hong Kong,4,Male,140
104,2010,False,Undergraduate,The Education University of Hong Kong,1,Female,519
105,2010,False,Undergraduate,The Education University of Hong Kong,1,Male,47
106,2010,False,Undergraduate,The Education University of Hong Kong,2,Female,434
107,2010,False,Undergraduate,The Education University of Hong Kong,2,Male,24
108,2010,False,Undergraduate,The Education University of Hong Kong,3,Female,394
109,2010,False,Undergraduate,The Education University of Hong Kong,3,Male,45
110,2010,True,Research postgraduate,The Hong Kong Polytechnic University,Postgrad,Female,248
111,2010,True,Research postgraduate,The Hong Kong Polytechnic University,Postgrad,Male,343
112,2010,False,Research postgraduate,The Hong Kong Polytechnic University,Postgrad,Female,12
113,2010,False,Research postgraduate,The Hong Kong Polytechnic University,Postgrad,Male,24
114,2010,True,Sub-degree,The Hong Kong Polytechnic University,1,Female,1015
115,2010,True,Sub-degree,The Hong Kong Polytechnic University,1,Male,812
116,2010,True,Sub-degree,The Hong Kong Polytechnic University,2,Female,706
117,2010,True,Sub-degree,The Hong Kong Polytechnic University,2,Male,505
118,2010,True,Sub-degree,The Hong Kong Polytechnic University,3,Female,92
119,2010,True,Sub-degree,The Hong Kong Polytechnic University,3,Male,24
120,2010,True,Sub-degree,The Hong Kong Polytechnic University,work placement,Female,94
121,2010,True,Sub-degree,The Hong Kong Polytechnic University,work placement,Male,25
122,2010,False,Sub-degree,The Hong Kong Polytechnic University,1,Female,167
123,2010,False,Sub-degree,The Hong Kong Polytechnic University,1,Male,67
124,2010,False,Sub-degree,The Hong Kong Polytechnic University,2,Female,243
125,2010,False,Sub-degree,The Hong Kong Polytechnic University,2,Male,116
126,2010,False,Sub-degree,The Hong Kong Polytechnic University,3,Female,130
127,2010,False,Sub-degree,The Hong Kong Polytechnic University,3,Male,59
128,2010,False,Sub-degree,The Hong Kong Polytechnic University,4,Female,54
129,2010,False,Sub-degree,The Hong Kong Polytechnic University,4,Male,38
130,2010,True,Taught postgraduate,The Hong Kong Polytechnic University,1,Female,12
131,2010,True,Taught postgraduate,The Hong Kong Polytechnic University,1,Male,@
132,2010,False,Taught postgraduate,The Hong Kong Polytechnic University,2,Female,6
133,2010,False,Taught postgraduate,The Hong Kong Polytechnic University,2,Male,@
134,2010,False,Taught postgraduate,The Hong Kong Polytechnic University,3,Female,62
135,2010,False,Taught postgraduate,The Hong Kong Polytechnic University,3,Male,52
136,2010,True,Undergraduate,The Hong Kong Polytechnic University,1,Female,1363
137,2010,True,Undergraduate,The Hong Kong Polytechnic University,1,Male,1288
138,2010,True,Undergraduate,The Hong Kong Polytechnic University,2,Female,1788
139,2010,True,Undergraduate,The Hong Kong Polytechnic University,2,Male,1545
140,2010,True,Undergraduate,The Hong Kong Polytechnic University,3,Female,1779
141,2010,True,Undergraduate,The Hong Kong Polytechnic University,3,Male,1607
142,2010,True,Undergraduate,The Hong Kong Polytechnic University,4,Female,170
143,2010,True,Undergraduate,The Hong Kong Polytechnic University,4,Male,107
144,2010,True,Undergraduate,The Hong Kong Polytechnic University,work placement,Female,59
145,2010,True,Undergraduate,The Hong Kong Polytechnic University,work placement,Male,79
146,2010,False,Undergraduate,The Hong Kong Polytechnic University,4,Male,5
147,2010,True,Research postgraduate,The Hong Kong University of Science and Technology,Postgrad,Female,297
148,2010,True,Research postgraduate,The Hong Kong University of Science and Technology,Postgrad,Male,727
